locationID,campus,roomNumber,building
1,East,496,Officer Hall
2,East,489,Model Hall
3,North,376,Upon Hall
4,South,135,Traditional Hall
5,North,241,Quality Hall
6,East,137,Next Hall
7,West,251,Camera Hall
8,East,403,You Hall
9,North,490,Size Hall
10,North,374,Page Hall
11,South,481,Like Hall
12,East,281,Audience Hall
13,West,220,Most Hall
14,North,478,Student Hall
15,South,407,Election Hall
16,North,207,Explain Hall
17,West,403,Pressure Hall
18,West,218,Stop Hall
19,West,323,Call Hall
20,South,323,Pull Hall
21,East,270,Win Hall
22,West,461,Treat Hall
23,East,483,Pretty Hall
24,North,391,Address Hall
25,West,156,Congress Hall
26,West,405,Son Hall
27,West,475,Serve Hall
28,South,373,Star Hall
29,North,404,Alone Hall
30,North,388,Research Hall
31,West,303,Within Hall
32,North,176,Large Hall
33,West,482,Fact Hall
34,West,468,Size Hall
35,West,202,Rather Hall
36,North,413,Situation Hall
37,West,339,Here Hall
38,North,295,Relationship Hall
39,West,322,Mouth Hall
40,North,448,Car Hall
41,West,150,Them Hall
42,East,447,Song Hall
43,West,121,Movement Hall
44,East,245,Indicate Hall
45,East,494,Feel Hall
46,North,314,Huge Hall
47,West,143,Mr Hall
48,South,212,During Hall
49,East,402,Decade Hall
50,East,207,Prove Hall
